Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
AE1,1206,1,Antenna_Chip,
BT1,BatteryHolder_Keystone_1042_1x18650,1,18650,C2988620
C1,0402,1,0.5pF,
"C10, C7",0603,2,1uF,C1592
"C11, C12, C13, C18, C5",0402,5,100nF,C6119799
"C14, C8, C9",0402,3,4.7uF,C23733
"C15, C16",0603,2,10uF,C6119842
C17,0603,1,22uF,C380323
"C2, C3",0402,2,12pF,C45359894
C4,0402,1,0.8pF,
C6,0402,1,100pF,C77177
D1,LED_1.7x1.1mm,1,LED_RED,C965860
D2,LED_1.7x1.1mm,1,LED_GREEN,C965863
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C2765186
J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03,C157928
J3,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,Conn_01x03,C161870
J4,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04,C161871
J5,JST_XH_S15B-XH-A_1x15_P2.50mm_Horizontal,1,Conn_01x15,
L1,0402,1,4.7nH,
L2,1008,1,0.47uH,C5832368
Q1,SOT-23,1,SI2301-ZE,C5261052
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,14,2302V,C7431443
Q2,SOT-23-6,1,FS8205A,C2830320
"R1, R2",0603,2,5.1k,C26000
R10,0402,1,1M,C26083
R11,0603,1,100R,C2907089
R12,0603,1,2k,C22975
"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R3, R4, R5",0603,17,220R,C2907127
R6,0603,1,1.2k,C25987
R7,0402,1,511k,C5126239
R8,0402,1,91k,C4147
R9,0402,1,2M,C138014
TP1,TestPoint_Pad_D1.5mm,1,#RST,
TP2,TestPoint_Pad_D1.5mm,1,SWDCLK,
TP3,TestPoint_Pad_D1.5mm,1,SWDIO,
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,C190794
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C7473158
U3,VSON-10,1,TPS63802DLAR,C2845237
U4,SOT-23-6,1,DW01A,C18164398
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,C37635331
